duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,key,mode,time_signature,explicit,popularity
208285,0.746,0.96,-3.229,0.0631,0.0121,0.0,0.293,0.744,140.069,disco,10,0,4,0,31
160112,0.789,0.886,-3.6,0.138,0.00117,0.000805,0.0797,0.0393,149.966,funk,1,1,4,1,60
260190,0.424,0.319,-9.888,0.0636,0.114,0.0,0.273,0.158,136.623,chill,11,0,4,0,35
209002,0.596,0.942,-4.419,0.0481,0.0146,0.0159,0.209,0.482,123.999,detroit-techno,2,1,4,0,13
267586,0.782,0.779,-5.843,0.0498,0.393,0.0,0.0961,0.82,83.851,sertanejo,11,0,4,0,49
197200,0.543,0.682,-12.159,0.317,0.736,0.0,0.979,0.921,118.477,samba,11,0,4,0,35
178445,0.499,0.2,-10.276,0.0355,0.819,0.0,0.115,0.185,137.367,show-tunes,2,1,4,0,63
358173,0.486,0.568,-9.199,0.0417,0.652,0.0,0.834,0.65,127.184,j-pop,9,0,4,0,44
155640,0.779,0.324,-12.326,0.0517,0.892,0.0,0.082,0.963,107.639,honky-tonk,2,1,4,0,12
188278,0.637,0.957,-3.309,0.0751,0.000346,0.00527,0.369,0.653,125.024,detroit-techno,8,1,4,0,7
284533,0.648,0.815,-4.756,0.0404,0.229,0.0,0.13,0.953,126.507,salsa,2,1,4,0,27
137880,0.691,0.552,-9.114,0.0264,0.497,0.000589,0.197,0.685,119.931,acoustic,5,1,4,0,55
331830,0.533,0.892,-6.001,0.209,0.00263,0.66,0.15,0.0382,184.92,trance,7,1,4,0,44
191905,0.606,0.851,-4.396,0.0771,0.719,0.0,0.586,0.421,116.34,latino,1,0,4,0,38
310493,0.221,0.861,-10.138,0.0678,0.000169,0.0113,0.345,0.287,186.401,death-metal,7,1,4,0,0
254853,0.58,0.483,-7.695,0.0303,0.578,0.0,0.0693,0.27,128.152,mandopop,7,1,4,0,24
309653,0.739,0.644,-6.011,0.0508,0.0731,0.0,0.28,0.497,142.035,dub,11,0,4,0,27
80693,0.37,0.0608,-26.843,0.0336,0.646,0.866,0.116,0.228,103.301,disney,7,1,4,0,21
167000,0.577,0.5,-7.143,0.276,0.439,2.7e-05,0.206,0.325,88.078,alternative,10,0,4,0,1
217613,0.699,0.78,-7.121,0.0505,0.0246,0.0,0.368,0.723,98.983,j-pop,11,0,4,0,53
169097,0.642,0.849,-7.165,0.423,0.467,0.0,0.0888,0.807,89.856,anime,0,1,4,0,34
488826,0.47,0.818,-10.298,0.0441,0.679,0.755,0.756,0.886,104.407,mpb,1,1,4,0,40
239999,0.649,0.685,-6.996,0.0539,0.0521,0.792,0.133,0.138,140.017,trance,1,1,4,0,42
189697,0.622,0.937,-7.037,0.0392,0.00182,0.844,0.214,0.0888,124.004,progressive-house,1,0,4,0,52
199893,0.554,0.898,-7.642,0.0474,0.00732,0.833,0.478,0.853,113.289,trip-hop,0,1,1,0,17
153205,0.58,0.832,-6.696,0.0773,0.42,0.0,0.98,0.843,195.864,pagode,8,1,4,0,43
177165,0.514,0.901,-5.674,0.114,0.0915,1.47e-05,0.076,0.422,120.647,country,9,1,4,0,0
182757,0.581,0.8,-2.613,0.411,0.154,0.0,0.0697,0.709,119.872,k-pop,1,1,5,0,80
116920,0.183,0.251,-14.319,0.04,0.663,0.876,0.105,0.0369,71.857,disney,5,0,4,0,20
175577,0.553,0.902,-4.35,0.0588,0.00286,0.0,0.2,0.572,132.089,grunge,11,0,4,0,50
230322,0.603,0.555,-10.337,0.0357,0.0135,0.514,0.0852,0.195,124.048,jazz,11,0,4,0,0
155080,0.549,0.433,-8.526,0.0327,0.906,0.0108,0.0774,0.486,116.068,r-n-b,7,1,3,0,64
145958,0.724,0.737,-6.471,0.057,0.00721,0.12,0.104,0.814,85.99,study,8,0,4,0,8
